feature,mean_abs_shap
days_since_signup,1.1123137
seller_avg_order_amount_to_date,1.0026355
buyer_count_clone,0.4663209
iforest_score,0.26242357
payer_provider_payer_country,0.24195857
total_orders_seller,0.22242956
clean_os,0.21667694
user_amt_mean_30d,0.16810971
amt_ratio_to_mean,0.15318273
total_orders_buyer,0.14098002
total_orders_buyer_seller,0.13163292
is_seller_plus_at_tx,0.12511073
total_payment_buyer_seller_24h,0.12332276
country_code,0.1144814
payer_concentration_all_time,0.082480915
seller_txns_30d,0.06836586
payment_amount,0.059247497
user_txns_1h,0.05130176
unique_users_per_payer,0.038061976
normalized_iforest,0.033591535
providers_30d,0.025713153
user_txns_24h,0.016190482
unique_ips_last_24h,0.010003669
is_team,0.004943723
user_has_multiple_payers,0.004545793
payer_concentration_24h,0.002413706
is_new_user_7d,0.0
is_paypal_after_decline,0.0
country_change_rate_24h,0.0
seller_fraud_14d,0.0
seller_fraud_30d,0.0
buyer_payer_seen_in_seller,0.0
